case_id,m_alk,m_si,m_sal,m_ca,m_mg,m_so4,CostIndex,DIC_1000y,risk_SI_chalcedony_0_100y,risk_SI_calcite_0_100y,risk_combined,pH_1000y,pH_min_0_100y,Objective,sel_exists,SI_chal_max_0_10y,SI_calc_max_0_10y,SI_anh_max_0_10y,T_SI_chal_pos_0_10y,T_SI_calc_pos_0_10y,T_SI_anh_pos_0_10y,A_SI_chal_pos_0_10y,A_SI_calc_pos_0_10y,A_SI_anh_pos_0_10y,pH_min_0_10y,pH_10y,RiskInj_A_0_10y,StorageReadyRatio,StorageReady_OK,RiskInj_norm,Cost_norm,SI_SUS
case_0031,2.0,1.0,0.7,1.5,1.0,1.0,3.43,1.183864014901,0.443327106054,0.9070313940859,0.89684280309695,5.250345229888,4.881387756409,-2.3248215912929,True,0.443327106054,0.9070313940859,-0.4785349535393,6.666666666666666,6.666669803787361,0.0,3.65270432496602,1.5117204128766462,0.0,4.881387756409,4.885487510398,4.408564531404343,1.0072756276994188,True,0.8327694142737082,0.2513741297178454,0.4833043436971158
case_0032,2.0,1.0,0.7,1.5,0.7,1.0,3.52,1.184754919591,0.4426061501846,0.9067831076492,0.8959977040092,5.253259501961,4.885307361543,-2.3672404884274,True,0.4426061501846,0.9067831076492,-0.4820610258731,6.666666666666666,6.666669803787361,0.0,3.647034225904668,1.5113066017593604,0.0,4.885307361543,4.889424851171,4.402687526784348,1.008033642614599,True,0.8219219987241837,0.2579699523635031,0.4846567352152328
case_0033,2.0,0.5,1.0,1.0,1.0,1.0,3.5,1.180775529887,0.4378837445651,0.7060017877381,0.7908846384341499,5.250225937553,4.893533595886,-2.1509937469813,True,0.4378837445651,0.7060017877381,-0.5115117796852,6.666666666666666,3.333336470454027,0.0,3.591237620055641,1.1766707536365757,0.0,4.893533595886,4.897510550065,4.1795729968739295,1.0046478295385148,True,0.4101108504325884,0.2565042139978014,0.6028073614478459
case_0034,2.0,0.5,1.0,1.0,0.7,1.0,3.59,1.181669739938,0.4371651277109,0.7060077637486,0.7901690095852,5.253110267277,4.897416078692,-2.1936682792324,True,0.4371651277109,0.7060077637486,-0.5153405419231,6.666666666666666,3.333336470454027,0.0,3.58569009577187,1.1766807136634494,0.0,4.897416078692,4.90140812626,4.174030452603595,1.0054086567780285,True,0.3998807613328781,0.2631000366434591,0.6045822405174485
case_0035,2.0,0.5,1.0,1.5,1.0,1.0,3.75,1.178394829825,0.439772925006,0.8753970571178,0.8774714535649,5.242457176946,4.883291195867,-2.4515480773048,True,0.439772925006,0.8753970571178,-0.5015880349245,6.666666666666666,6.66666980378736,0.0,3.606208846016847,1.458996468309446,0.0,4.883291195867,4.887224471261,4.33570708017157,1.002622241194641,True,0.6982935884912562,0.2748259435690729,0.5081406498204921
case_0036,2.0,0.5,1.0,1.5,0.7,1.0,3.84,1.179282131557,0.4390654763146,0.8755720292159,0.87685149092255,5.245368673888,4.88709376657,-2.4944208502881,True,0.4390654763146,0.8755720292159,-0.5052366346488,6.666666666666666,6.666669803787361,0.0,3.6005732435704774,1.459288088747401,0.0,4.88709376657,4.891043956074,4.330217287944178,1.0033771905788689,True,0.688160865884834,0.2814217662147307,0.5094364533004001
case_0037,2.0,0.5,0.7,1.0,1.0,1.0,3.68,1.186259116337,0.4395963617188,0.7380831324395,0.80863792793855,5.258137311233,4.892061495247,-2.2710167395401,True,0.4395963617188,0.7380831324395,-0.4882869618495,6.666666666666666,3.333336470454027,0.0,3.60500764940973,1.2301397117937678,0.0,4.892061495247,4.896201778837,4.220077505306614,1.0093134692690455,True,0.48487159387385,0.2696958592891169,0.5752491689330903
case_0038,2.0,0.5,0.7,1.0,0.7,1.0,3.77,1.187156907843,0.4388693197375,0.7375778842794,0.8076582618771999,5.261023616813,4.896067659848,-2.3131596159114,True,0.4388693197375,0.7375778842794,-0.4920042260635,6.666666666666666,6.666669803787361,0.0,3.5992951198374312,1.2292976307344228,0.0,4.896067659848,4.900223446527,4.213943935204643,1.0100773437439574,True,0.4735506254553706,0.2762916819347746,0.5772390686166844
case_0039,2.0,0.5,0.7,1.5,1.0,1.0,3.93,1.183868876171,0.4415604189143,0.9070600016687,0.89509041974865,5.250361954463,4.881498584963,-2.5713119633263,True,0.4415604189143,0.9070600016687,-0.4786772483118,6.666666666666666,3.333336470454027,0.0,3.620397126766769,1.5117680922261847,0.0,4.881498584963,4.885593337887,4.376281172879861,1.007279763849119,True,0.7731827663309949,0.2880175888603884,0.4886860034310409
case_0040,2.0,0.5,0.7,1.5,0.7,1.0,4.0200000000000005,1.18475974187,0.440836078023,0.9068117171345,0.8942419365902501,5.253275970787,4.885419213834,-2.6137241313105006,True,0.440836078023,0.9068117171345,-0.4822058207256,6.666666666666666,6.666669803787361,0.0,3.614565423823179,1.511354284279736,0.0,4.885419213834,4.889531654759,4.370242565963047,1.0080377455893037,True,0.7620370751494607,0.2946134115060462,0.490135660935057
case_0041,2.0,0.25,1.0,1.0,1.0,1.0,4.125,1.180778790589,0.436998364856,0.7060198116436,0.7900082706778,5.250237012418,4.893589121584,-2.4617377507666003,True,0.436998364856,0.7060198116436,-0.5115868123255,6.666666666666666,6.666669803787361,0.0,3.57353373108732,1.1767007935073486,0.0,4.893589121584,4.897565346924,4.161884127840994,1.0046506038653062,True,0.3774618182455883,0.3023085379259802,0.5980880661300902
